,centerYn,districtCd,mobileNo,regionName,stationId,stationName,x,y,stationSeq,turnYn,stationIdx,distance,cumsum
1,N,2, 07004,성남,206000010,운중동먹거리촌,127.0582333,37.3914,1,N,0,0,0
2,N,2, 07005,성남,206000009,운중동푸르지오하임,127.0611,37.3919333,2,N,6,259,259
3,N,2, 07581,성남,206000658,한빛교회.월든힐스아파트,127.0639667,37.39205,3,N,12,259,518
4,N,2, 07507,성남,206000558,운중초등학교,127.0665667,37.39135,4,N,19,255,773
5,N,2, 07009,성남,206000007,운중중학교,127.07305,37.3916,5,N,27,571,1344
6,N,2, 07011,성남,206000006,운중동행정복지센터,127.0776667,37.3915,6,N,34,410,1754
7,N,2, 07013,성남,206000005,뫼루니육교,127.0829167,37.3910667,7,N,41,469,2223
8,N,2, 07015,성남,206000004,판교원마을1.2단지.판교도서관,127.0879333,37.3898167,8,N,47,464,2687
9,N,2, 07502,성남,206000555,판교청소년수련관.판교종합사회복지관,127.0919333,37.3889833,9,N,53,365,3052
10,N,2, 07016,성남,206000003,한림아파트,127.0961333,37.3882167,10,N,60,380,3432
11,N,2, 07018,성남,206000002,너더리육교,127.0996,37.3881,11,N,65,303,3735
12,N,2,,성남,277103149,판교TG(경유),127.1031667,37.39595,12,N,86,1248,4983
13,N,2,,성남,277103679,금토JC(경유),127.0853167,37.4152833,13,N,107,2707,7690
14,N,2,,서울,277103441,서울진입(경유),127.0665833,37.43385,14,N,117,2645,10335
15,N,2,,서울,277104177,청계산입구역(경유),127.0542,37.4483667,15,N,128,1954,12289
16,N,2,,서울,277103388,양재IC(경유),127.04045,37.4632833,16,N,139,2059,14348
17,N,2,,서울,277103390,서초IC(경유),127.0263333,37.4831333,17,N,161,2590,16938
18,N,2,,서울,277103391,반포IC(경유),127.0188667,37.50285,18,N,175,2287,19225
19,N,2,,서울,277103400,한남IC(경유),127.0175833,37.5224833,19,N,200,2305,21530
20,N,2,,서울,102000069,순천향대학병원,127.0062667,37.5356667,20,N,217,1795,23325
21,N,2,,서울,277104180,한남1고가차도(경유),127.0026333,37.5414667,21,N,231,736,24061
22,N,2,,서울,277104186,남산1호터널TG(경유),126.99315,37.55585,22,N,240,1815,25876
23,N,2,,서울,101000292,남대문세무서.국가인권위원회,126.9878,37.5652333,23,N,267,1211,27087
24,Y,2,,서울,100000001,종로2가사거리(중),126.9877333,37.5697833,24,N,277,506,27593
25,N,2, 72014,서울,101000141,을지로입구역.광교,126.9824667,37.5675333,25,N,291,763,28356
26,N,2,,서울,101000264,북창동.남대문시장,126.9771667,37.5609667,26,N,316,1014,29370
27,Y,2,,서울,101000005,서울역버스환승센터(5번승강장)(중),126.97275,37.5554333,27,Y,335,1030,30400
28,N,2,,서울,277101742,서울역교차로(경유),126.9726333,37.5571,28,N,342,398,30798
29,N,2,,서울,101000026,숭례문,126.9744,37.5587833,29,N,347,240,31038
30,N,2,,서울,277102114,남대문로3가(경유),126.9789833,37.56105,30,N,360,532,31570
31,N,2,,서울,101000148,명동국민은행앞,126.9826,37.5646833,31,N,377,551,32121
32,Y,2,,서울,101000001,남대문세무서.서울백병원(중),126.9875333,37.5649667,32,N,390,689,32810
33,N,2,,서울,277104181,남산1호터널TG(경유),126.9927167,37.5557,33,N,417,1188,33998
34,N,2,,서울,277104179,한남1고가차도(경유),127.0024833,37.5413333,34,N,426,1820,35818
35,N,2,,서울,102000070,순천향대학병원,127.00545,37.5359,35,N,439,677,36495
36,N,2,,서울,277103399,한남IC(경유),127.0172833,37.5220333,36,N,456,1868,38363
37,N,2,,서울,277103392,반포IC(경유),127.0184333,37.5028167,37,N,481,2233,40596
38,N,2,,서울,277103389,서초IC(경유),127.0256667,37.48365,38,N,495,2231,42827
39,N,2,,서울,277103387,양재IC(경유),127.0394333,37.46365,39,N,514,2566,45393
40,N,2,,서울,277104178,청계산입구역(경유),127.0538333,37.4481833,40,N,528,2142,47535
41,N,2,,서울,277103440,성남진입(경유),127.0661833,37.43355,41,N,541,1961,49496
42,N,2,,성남,277103678,금토JC(경유),127.08445,37.4155,42,N,550,2573,52069
43,N,2,,성남,277103148,판교TG(경유),127.1021333,37.3956667,43,N,572,2756,54825
44,N,2, 07020,성남,206000018,너더리육교,127.0996,37.3883833,44,N,596,1333,56158
45,N,2, 07017,성남,206000017,한림아파트,127.0960833,37.3885,45,N,602,312,56470
46,N,2, 07501,성남,206000554,판교청소년수련관.판교종합사회복지관,127.0916833,37.38935,46,N,608,401,56871
47,N,2, 07014,성남,206000016,판교원마을1.2단지.판교도서관,127.0890667,37.3899,47,N,613,239,57110
48,N,2, 07515,성남,206000556,뫼루니육교,127.0830333,37.3912833,48,N,620,553,57663
49,N,2, 07012,성남,206000015,운중동행정복지센터,127.07675,37.39185,49,N,628,558,58221
50,N,2, 07010,성남,206000014,운중고등학교,127.0730167,37.3918167,50,N,635,328,58549
51,N,2, 07506,성남,206000557,운중초등학교,127.06675,37.3916,51,N,643,557,59106
52,N,2, 07582,성남,206000657,한빛교회.월든힐스아파트,127.0641,37.3921333,52,N,650,256,59362
53,N,2, 07006,성남,206000012,운중동푸르지오하임,127.0609833,37.392,53,N,658,277,59639
54,N,2, 07440,성남,206000470,운중동먹거리촌,127.05835,37.3915167,54,N,662,239,59878
55,N,2, 07447,성남,206000011,한국학중앙연구원,127.0563,37.3916,55,N,666,183,60061
