,centerYn,districtCd,mobileNo,regionName,stationId,stationName,x,y,stationSeq,turnYn,stationIdx,distance,cumsum
1,N,2, 02214,수원,201000009,수원버스터미널,127.01955,37.25095,1,N,0,0,0
2,N,2, 02217,수원,201000008,한양아파트,127.02055,37.2529833,2,N,6,241,241
3,N,2, 02227,수원,201000007,세권사거리,127.0219833,37.2557667,3,N,12,335,576
4,N,2, 02235,수원,201000006,권선사거리.SK뷰아파트,127.0236667,37.2589833,4,N,17,386,962
5,N,2, 02245,수원,201000110,수원가구거리,127.0274333,37.25885,5,N,25,431,1393
6,N,2, 03089,수원,202000021,수원시청역2번출구.벽산그랜드코아,127.0314833,37.26025,6,N,32,516,1909
7,N,2, 03091,수원,202000020,수원시청역9번출구.국민연금공단,127.03265,37.2631,7,N,38,333,2242
8,N,2, 03098,수원,202000019,뉴코아아울렛,127.0336,37.2657333,8,N,44,311,2553
9,N,2, 03169,수원,202000086,인계래미안노블클래스,127.0347167,37.2687833,9,N,50,350,2903
10,N,2, 03104,수원,202000018,현대힐스테이트.인계삼성아파트,127.0357167,37.271,10,N,54,257,3160
11,N,2, 03113,수원,202000079,청소년문화센터,127.0373167,37.2750333,11,N,60,466,3626
12,N,2, 03118,수원,202000049,우만동선경아파트,127.0396167,37.2759333,12,N,69,365,3991
13,N,2, 04238,수원,203000067,아주대학교입구,127.0440833,37.2759333,13,N,78,549,4540
14,N,2, 04237,수원,203000066,아주대.아주대학교병원,127.0439167,37.2787,14,N,82,309,4849
15,N,2, 03124,수원,202000039,창현고교.아주대학교.유신고교,127.0421167,37.2808333,15,N,88,305,5154
16,N,2, 03117,수원,202000038,효성초등학교,127.0396,37.2823167,16,N,92,275,5429
17,N,2, 03105,수원,202000037,수원월드컵경기장.동성중학교,127.0360333,37.2849833,17,N,101,442,5871
18,N,2, 03096,수원,202000036,여권민원실.풍림아파트,127.0335,37.2875333,18,N,106,361,6232
19,N,2, 03084,수원,202000035,수원시평생학습관.우만주공아파트,127.03005,37.29085,19,N,112,475,6707
20,N,2, 03088,수원,202000053,우만동4단지,127.0308833,37.2922167,20,N,120,354,7061
21,N,2, 03092,수원,202000043,월드컵경기장입구.우만아파트주공3단지,127.0325167,37.2923667,21,N,124,146,7207
22,N,2, 04002,수원,203000167,경기남부경찰청.봉녕사입구,127.0349333,37.29365,22,N,131,258,7465
23,N,2, 04178,수원,203000166,경기대수원캠퍼스후문.수원박물관,127.0394333,37.29675,23,N,148,554,8019
24,N,2, 04174,수원,203000046,수원광교박물관.광교카페거리,127.0511667,37.29475,24,N,163,1068,9087
25,N,2, 04175,수원,203000045,광교역사공원.광교카페거리,127.0543833,37.2952333,25,N,172,286,9373
26,N,2,,용인시수지,277103652,광교상현IC(경유),127.06105,37.29825,26,N,198,1041,10414
27,N,2,,용인시수지,277103643,서수지TG(경유),127.0587,37.3273667,27,N,221,3498,13912
28,N,2,,성남,277103645,서분당IC(경유),127.0630667,37.3610333,28,N,250,3814,17726
29,N,2,,성남,277103724,서판교IC(경유),127.0704167,37.388,29,N,269,3103,20829
30,N,2, 07588,성남,206000654,국은교앞,127.0755333,37.3888333,30,N,277,550,21379
31,N,2, 07553,성남,206000552,성남시운중도서관,127.07575,37.3900833,31,N,281,139,21518
32,N,2, 07011,성남,206000006,운중동행정복지센터,127.0776667,37.3915,32,N,286,337,21855
33,N,2, 07013,성남,206000005,뫼루니육교,127.0829167,37.3910667,33,N,293,469,22324
34,N,2, 07015,성남,206000004,판교원마을1.2단지.판교도서관,127.0879333,37.3898167,34,N,299,464,22788
35,N,2, 07502,성남,206000555,판교청소년수련관.판교종합사회복지관,127.0919333,37.3889833,35,N,305,365,23153
36,N,2, 07016,성남,206000003,한림아파트,127.0961333,37.3882167,36,N,312,380,23533
37,N,2, 07412,성남,206000609,판교동행정복지센터,127.0977,37.3892167,37,N,317,227,23760
38,N,2, 07471,성남,206000607,낙생초등학교.판교원마을10단지,127.0984167,37.3931,38,N,326,439,24199
39,N,2, 07548,성남,206000605,불꽃교회,127.0979167,37.3967333,39,N,333,405,24604
40,N,2, 07549,성남,206000603,판교원마을11단지.낙원중,127.0956667,37.3989167,40,N,339,314,24918
41,N,2, 07505,성남,206000551,성내미육교.판교박물관,127.0956333,37.4001333,41,N,343,211,25129
42,N,2, 07513,성남,206000567,SK플래닛.판교디지털센터,127.1031,37.4030167,42,N,354,755,25884
43,N,2, 07511,성남,206000565,유라코퍼레이션.SK케미칼,127.1076833,37.4030667,43,N,361,405,26289
44,N,2, 07509,성남,206000563,한국무역정보통신,127.1109833,37.4030833,44,N,367,291,26580
45,N,2, 07521,성남,206000578,봇들마을5단지,127.1127667,37.4016333,45,N,375,328,26908
46,N,2, 07578,성남,206000638,웰츠타워,127.11275,37.3977,46,N,382,425,27333
47,N,2, 07570,성남,206000637,판교역동편,127.1127,37.3953833,47,N,387,270,27603
48,N,2, 07493,성남,206000536,백현마을4단지,127.1156,37.3916833,48,N,396,635,28238
49,N,2, 07420,성남,206000537,백현마을3단지,127.11815,37.3917833,49,N,402,227,28465
50,N,2, 07168,성남,206000239,이매촌한신.서현역.AK프라자,127.1241833,37.38835,50,N,414,681,29146
51,N,2, 07301,성남,206000028,송림고등학교.이매촌청구아파트.동신아파트,127.1284667,37.3919833,51,N,433,999,30145
52,N,2, 07322,성남,206000227,이매역.농업기술센터.진흥아파트.동신아파트,127.1287333,37.3975,52,N,441,623,30768
53,N,2, 07202,성남,206000226,성남아트센터.태원고교,127.1287167,37.4014667,53,N,448,427,31195
54,N,2, 07643,성남,206000784,야탑역.종합버스터미널(광역버스),127.1289667,37.4127167,54,N,465,1262,32457
55,N,2, 06004,성남,205000029,성남시청,127.1290333,37.41805,55,N,474,601,33058
56,N,2, 06231,성남,205000250,성남시청후문,127.1274333,37.4216167,56,N,482,491,33549
57,N,2, 06223,성남,205000243,모란차량기지앞,127.1218667,37.4219333,57,N,488,492,34041
58,N,2, 05193,성남,204000221,사송동선사교회,127.1169,37.42005,58,N,499,710,34751
59,N,2, 05155,성남,204000142,사송동종점,127.11495,37.4155833,59,Y,511,586,35337
60,N,2, 05156,성남,204000143,사송동종점,127.1150167,37.4154333,60,N,514,52,35389
61,N,2, 05187,성남,204000197,사송동선사교회,127.1171833,37.4200833,61,N,526,599,35988
62,N,2, 06224,성남,205000244,모란차량기지앞,127.1224833,37.4215833,62,N,535,698,36686
63,N,2, 06230,성남,205000249,성남시청후문,127.1257333,37.4214,63,N,539,286,36972
64,N,2, 06229,성남,205000245,성남시청,127.1285167,37.4194667,64,N,548,474,37446
65,N,2, 07367,성남,206000361,동부.코오롱아파트,127.1285,37.4157167,65,N,556,417,37863
66,N,2, 07201,성남,206000157,야탑역.종합버스터미널(전면),127.1285,37.4114167,66,N,563,478,38341
67,N,2, 07198,성남,206000055,성남아트센터.태원고교,127.1281333,37.40165,67,N,578,1090,39431
68,N,2, 07197,성남,206000054,이매역,127.1280333,37.3967167,68,N,588,553,39984
69,N,2, 07196,성남,206000053,송림고교.이매촌성지아파트.청구아파트,127.1280167,37.3930333,69,N,596,409,40393
70,N,2, 07170,성남,206000316,이매촌한신.서현역.AK프라자,127.1246333,37.3884833,70,N,614,1079,41472
71,N,2, 07487,성남,206000530,백현마을2단지,127.1182333,37.3921167,71,N,627,695,42167
72,N,2, 07488,성남,206000531,백현마을1단지,127.1145,37.3919667,72,N,633,329,42496
73,N,2, 07576,성남,206000635,판교역동편,127.1131833,37.3947833,73,N,642,462,42958
74,N,2, 07580,성남,206000636,판교호반써밋플레이스,127.1131333,37.3979833,74,N,649,353,43311
75,N,2, 07517,성남,206000579,봇들마을5단지.테크노육교,127.11315,37.4010833,75,N,655,348,43659
76,N,2, 07508,성남,206000562,차그룹컨소시엄,127.11095,37.40335,76,N,665,406,44065
77,N,2, 07510,성남,206000564,봇들육교,127.1076667,37.4033667,77,N,671,288,44353
78,N,2, 07512,성남,206000566,이노밸리.포스코ICT,127.1028167,37.4033667,78,N,678,429,44782
79,N,2, 07504,성남,206000549,성내미육교.판교박물관,127.09595,37.4007167,79,N,691,674,45456
80,N,2, 07551,성남,206000550,판교원마을11단지.낙원중,127.0957833,37.3985333,80,N,698,317,45773
81,N,2, 07547,성남,206000604,불꽃교회,127.09755,37.397,81,N,704,235,46008
82,N,2, 07419,성남,206000606,낙생초등학교,127.0981167,37.3936,82,N,711,387,46395
83,N,2, 07416,성남,206000608,판교동행정복지센터,127.0975,37.3891,83,N,722,505,46900
84,N,2, 07017,성남,206000017,한림아파트,127.0960833,37.3885,84,N,727,213,47113
