,centerYn,districtCd,mobileNo,regionName,stationId,stationName,x,y,stationSeq,turnYn,stationIdx,distance,cumsum
1,N,2, 23489,남양주,222000824,호평동차고지,127.2474167,37.6563833,1,N,0,0,0
2,N,2, 23475,남양주,222000171,호평상업지구.이마트,127.2434833,37.6554833,2,N,10,396,396
3,N,2, 23476,남양주,222000170,평내호평역,127.2435833,37.6534833,3,N,16,223,619
4,N,2, 23465,남양주,222000323,진주아파트,127.2390167,37.65145,4,N,29,535,1154
5,N,2, 23460,남양주,222000322,평내농협.평내초교.대명루첸,127.2368333,37.6498167,5,N,34,263,1417
6,N,2, 23456,남양주,222000321,평내동주민센터.남양주우체국,127.2353167,37.6483667,6,N,39,209,1626
7,N,2, 23449,남양주,222000320,평내문화촌마을,127.2327167,37.646,7,N,47,364,1990
8,N,2, 23447,남양주,222000181,궁집,127.23035,37.64385,8,N,59,465,2455
9,N,2, 23450,남양주,222000180,장내중.평내고.남양주소방서,127.2324833,37.64225,9,N,66,258,2713
10,N,2, 23453,남양주,222000179,평내화성.유진아파트,127.23525,37.6419667,10,N,74,323,3036
11,N,2, 23461,남양주,222000178,평내신명.대주.금호아파트,127.238,37.6448667,11,N,83,421,3457
12,N,2, 23469,남양주,222000177,평내중흥.삼창.상록아파트,127.24165,37.6470833,12,N,90,411,3868
13,N,2,,남양주,277102831,평내IC(경유),127.2479333,37.6457667,13,N,103,870,4738
14,N,2,,남양주,277102833,무대IC(경유),127.2112167,37.616,14,N,129,4829,9567
15,N,2,,남양주,277102835,이패IC(경유),127.19,37.6073833,15,N,152,2196,11763
16,N,2,,남양주,277102837,수석IC(경유),127.1755333,37.5949167,16,N,167,1892,13655
17,N,2, 23166,남양주,222000302,수석동.풍속마을,127.17015,37.5891333,17,N,185,855,14510
18,N,2, 22161,구리,221000039,토평IC,127.1523167,37.5775833,18,N,211,2113,16623
19,N,2,,구리,277100104,토평삼거리(경유),127.1450333,37.5769667,19,N,223,656,17279
20,N,2,,구리,277103306,아천IC(경유),127.1285333,37.5732667,20,N,238,1534,18813
21,N,2,,서울,277102674,천호대교북단(경유),127.1072,37.5441,21,N,278,3839,22652
22,N,2,,서울,277103309,올림픽대교북단(경유),127.0994667,37.5377333,22,N,290,985,23637
23,N,2,,서울,277103308,잠실대교북단(경유),127.0878167,37.5297333,23,N,307,1435,25072
24,N,2,,서울,277102302,잠실대교남단(경유),127.0935667,37.5215,24,N,319,1138,26210
25,N,2,,서울,123000611,잠실광역환승센터,127.1006667,37.51235,25,Y,327,1290,27500
26,N,2,,서울,277103310,올림픽대교북단(경유),127.0997,37.5375333,26,N,349,3556,31056
27,N,2,,서울,277102675,천호대교북단(경유),127.1077,37.5439167,27,N,361,1002,32058
28,N,2,,구리,277103307,아천IC(경유),127.1279167,37.5726333,28,N,397,3743,35801
29,N,2,,구리,277103313,토평삼거리(경유),127.14505,37.57665,29,N,414,1615,37416
30,N,2, 22226,구리,221000238,토평IC,127.1526667,37.5775167,30,N,424,682,38098
31,N,2, 23167,남양주,222000301,수석동,127.17055,37.5893,31,N,448,2122,40220
32,N,2,,남양주,277102838,수석IC(경유),127.1753333,37.5946,32,N,462,745,40965
33,N,2,,남양주,277102836,이패IC(경유),127.19025,37.6072667,33,N,477,1933,42898
34,N,2,,남양주,277102834,무대IC(경유),127.21135,37.6158,34,N,499,2190,45088
35,N,2,,남양주,277102832,평내IC(경유),127.2491333,37.6465667,35,N,526,4973,50061
36,N,2, 23470,남양주,222000186,평내중흥.삼창.상록아파트,127.2416333,37.6472833,36,N,548,1460,51521
