centerYn,districtCd,regionName,stationId,stationName,x,y,stationSeq,turnYn,mobileNo,distance
N,2,수원,202000088,수원역,127.0000833,37.2679667,1,N,03171,0.0
N,2,수원,202000223,고등동구터미널,127.0010167,37.2710833,2,N,03020,458.11532154763097
N,2,수원,202000222,고등동사거리,127.0018167,37.2723333,3,N,03024,157.1859365040917
N,2,수원,202000221,수원여자고교,127.0031167,37.2760667,4,N,03029,416.611790397731
N,2,수원,202000205,화서시장.병무청입구.고등동행정복지센터,127.0046,37.2800833,5,N,03031,475.5914914876547
N,2,수원,202000204,글로벌청소년드림센터.경기도지사공관,127.0060167,37.28215,6,N,03034,263.21119359615795
N,2,수원,200000190,화서문.장안공원,127.0090667,37.28615,7,N,01258,537.4498530738801
N,2,수원,200000321,장안공원,127.0125667,37.2882333,8,N,01411,387.9076389938021
N,2,수원,200000188,장안문.느림보타운,127.0126,37.2913167,9,N,01139,416.8071883936935
N,2,수원,200000037,KT수원지사.국민연금북수원지사,127.0115333,37.2926667,10,N,01135,181.7988955393972
N,2,수원,200000187,수원종합운동장.수원시체육회관.아너스빌위즈,127.0088833,37.2962167,11,N,01130,459.6299901928697
N,2,수원,200000186,수원KT위즈파크,127.0087,37.3005,12,N,01131,561.9010839787222
N,2,수원,200000080,한일타운.경기일보.홈플러스,127.0066,37.30345,13,N,01125,448.31807658543937
N,2,수원,200000079,수일여중.대우건설기술연구원.경기도융합과학교육원,127.0025667,37.3058333,14,N,01225,445.29325335149355
N,2,수원,200000078,수일중학교,126.99985,37.3070667,15,N,01109,276.0248043251769
N,2,수원,200000077,한국가스안전공사.택시공제조합,126.9974333,37.3081333,16,N,01102,244.34856942956296
N,2,수원,200000146,삼익아파트.광교산입구,126.99445,37.30945,17,N,01091,301.387515663488
N,2,수원,200000075,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도가족여성연구원,126.9903167,37.3115667,18,N,01074,440.3451091364113
N,2,의왕,277103323,지지대고개(경유),126.9836667,37.33055,19,N,-1,2228.391762679764
N,2,의왕,226000039,의왕톨게이트,126.9839333,37.34645,20,N,27113,1986.870946721143
N,2,의왕,277103221,의왕터널진입(경유),126.9983333,37.35895,21,N,-1,1908.2009125632696
N,2,의왕,277103159,학의JC(경유),127.0015833,37.38705,22,N,-1,3215.1422779564955
N,2,의왕,277103200,과천터널진입(경유),127.00175,37.40185,23,N,-1,1730.6296108159806
N,2,과천,277103203,과천IC(경유),126.9965333,37.42155,24,N,-1,2561.4438098604874
N,2,과천,277103205,대공원고가교(경유),127.0006667,37.4381833,25,N,-1,2009.9542541650908
N,2,과천,220000020,관문사거리부대앞,126.9941833,37.4495333,26,N,21013,1388.6868799949993
N,2,서울,277103903,서울진입(경유),126.9881167,37.4623833,27,N,-1,1579.8715564040112
Y,2,서울,120000671,남태령역(중),126.9880667,37.4658833,28,N,-1,390.4446520836844
N,2,서울,277103902,사당IC(경유),126.9843,37.47035,29,N,-1,607.8458494296135
Y,2,서울,121001315,사당역(중),126.9820167,37.4744167,30,Y,-1,498.14897214172856
N,2,서울,277103537,사당역10번출구(경유),126.9815,37.4789667,31,N,-1,721.9834534607712
N,2,서울,120000059,사당역4번출구,126.98145,37.4753667,32,N,-1,398.5741391828808
N,2,서울,277102049,남현동(경유),126.9844667,37.4695,33,N,-1,701.0056877967384
N,2,서울,277102291,과천진입(경유),126.9876667,37.4590333,34,N,-1,1286.1931396713455
N,2,과천,220000009,관문사거리부대앞,126.9940833,37.4486333,35,N,21014,1294.3038901660802
N,2,과천,277103204,대공원고가교(경유),127.00005,37.4382833,36,N,-1,1266.283846931363
N,2,과천,277103202,과천IC(경유),126.9960167,37.4219333,37,N,-1,2012.3281738864139
N,2,과천,277103201,과천터널진입(경유),126.9948833,37.4080167,38,N,-1,1696.7220308979113
N,2,의왕,277103158,학의JC(경유),127.0015167,37.3876667,39,N,-1,2553.2101447341074
N,2,의왕,277103220,의왕터널진입(경유),126.9992333,37.3656667,40,N,-1,2514.8066033139785
N,2,의왕,226000038,의왕톨게이트,126.9845667,37.3485167,41,N,27112,2414.0440166495487
N,2,의왕,277103322,지지대고개(경유),126.9833333,37.33045,42,N,-1,2354.2451745873536
N,2,수원,200000073,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도가족여성연구원,126.9890333,37.31245,43,N,01071,2086.4935540859015
N,2,수원,200000282,국세청삼거리.아주편한병원,126.9909667,37.3107,44,N,01126,255.68564705149015
N,2,수원,200000145,북수원시장.광교산입구,126.9943,37.3091667,45,N,01089,339.9573393621753
N,2,수원,200000196,한국가스안전공사,126.9973833,37.3078333,46,N,01103,310.2808889664205
N,2,수원,200000195,수일여중.한빛현요양병원.경기도융합과학교육원,127.0004333,37.3065,47,N,01208,307.63736999978426
N,2,수원,200000194,경기일보.한일타운,127.0048833,37.3040333,48,N,01123,482.73356944467065
N,2,수원,200000200,장안지하차도.수원KT위즈파크,127.0081667,37.3020333,49,N,01238,364.8854256370966
N,2,수원,200000185,수원KT위즈파크.행정동우회관,127.0074667,37.2996333,50,N,01128,381.03915912323725
N,2,수원,200000184,수원종합운동장.로얄팰리스.아너스빌위즈,127.0086833,37.2960333,51,N,01129,448.672558118362
N,2,수원,200000271,동성아울렛,127.0121833,37.2913167,52,N,01239,609.8495073129908
N,2,수원,200000183,장안공원,127.0127,37.2885667,53,N,01259,402.3659236828553
N,2,수원,200000202,한국은행,127.00935,37.2866167,54,N,01232,364.45939856703717
N,2,수원,202000202,화서문로터리,127.0069333,37.2846667,55,N,03037,310.89221271856854
N,2,수원,202000203,글로벌청소년드림센터.경기도지사공관,127.0057,37.2821333,56,N,03033,300.39926537141605
N,2,수원,202000201,병무청입구.고등동행정복지센터,127.00385,37.2794167,57,N,03030,344.13251374208005
N,2,수원,202000220,수원여자고교,127.00275,37.2759167,58,N,03028,389.2748605103107
N,2,수원,202000211,고등동사거리,127.0021667,37.2737667,59,N,03026,257.61530836174325
N,2,수원,202000217,농천교회,127.0007333,37.2711167,60,N,03018,339.07547385136456
N,2,수원,202000208,수원역.노보텔수원,126.9995667,37.2680833,61,N,03015,405.5659241347979
